Local Authority code,Local Authority name,Total recorded crime (excluding fraud),Violence against the person
E07000132,Hinckley and Bosworth,7702.0,2974.0
E07000133,Melton,3396.0,1378.0
E07000134,North West Leicestershire,8186.0,3139.0
E07000135,Oadby and Wigston,3898.0,1589.0
E07000136,Boston,5616.0,2510.0
E07000137,East Lindsey,10452.0,4727.0
E07000138,Lincoln,13088.0,4845.0
E07000139,North Kesteven,4726.0,2149.0
E07000140,South Holland,5136.0,2432.0
E07000141,South Kesteven,7814.0,3036.0
E07000142,West Lindsey,6423.0,2419.0
E07000143,Breckland,7794.0,3466.0
E07000144,Broadland,5118.0,2413.0
E07000145,Great Yarmouth,9347.0,4453.0
E07000146,King's Lynn and West Norfolk,9407.0,4081.0
E07000147,North Norfolk,4558.0,2112.0
E07000148,Norwich,16603.0,6418.0
E07000149,South Norfolk,6181.0,2663.0
E07000170,Ashfield,10870.0,3580.0
E07000171,Bassetlaw,9691.0,3172.0
E07000174,Mansfield,11948.0,4254.0
E07000175,Newark and Sherwood,8683.0,3041.0
E07000177,Cherwell,11385.0,4395.0
E07000178,Oxford,16164.0,4991.0
E07000179,South Oxfordshire,6687.0,2531.0
E07000180,Vale of White Horse,6711.0,2793.0
E07000181,West Oxfordshire,5470.0,2262.0
E07000192,Cannock Chase,6884.0,3131.0
E07000193,East Staffordshire,8749.0,3955.0
E07000194,Lichfield,5829.0,2521.0
E07000195,Newcastle-under-Lyme,8266.0,3732.0
E07000196,South Staffordshire,5587.0,2484.0
E07000197,Stafford,8888.0,3989.0
E07000198,Staffordshire Moorlands,4928.0,2523.0
E07000199,Tamworth,5758.0,2584.0
E07000202,Ipswich,12902.0,5269.0
E07000207,Elmbridge,7737.0,2845.0
E07000208,Epsom and Ewell,5108.0,1720.0
E07000209,Guildford,10943.0,3997.0
E07000210,Mole Valley,5005.0,1871.0
E07000211,Reigate and Banstead,9438.0,3906.0
E07000212,Runnymede,6215.0,2295.0
E07000213,Spelthorne,8521.0,3032.0
E07000214,Surrey Heath,4968.0,1977.0
E07000215,Tandridge,4714.0,1828.0
E07000216,Waverley,5707.0,2023.0
E07000217,Woking,6739.0,2725.0
E07000218,North Warwickshire,4443.0,1557.0
E07000219,Nuneaton and Bedworth,11232.0,4615.0
E07000220,Rugby,6933.0,2733.0
E07000223,Adur,4831.0,1553.0
E07000224,Arun,11517.0,4475.0
E07000225,Chichester,8128.0,2911.0
E07000226,Crawley,14504.0,5081.0
E07000227,Horsham,7770.0,2690.0
E07000228,Mid Sussex,8131.0,2939.0
E07000229,Worthing,10362.0,3527.0
E07000240,St Albans,8110.0,2578.0
E07000241,Welwyn Hatfield,8617.0,3158.0
E07000242,East Hertfordshire,7086.0,2539.0
E07000243,Stevenage,6820.0,2652.0
E07000244,Suffolk Coastal,13826.0,5737.0
E08000001,Bolton,33337.0,13904.0
E08000002,Bury,20215.0,8008.0
E08000003,Manchester,94616.0,32256.0
E08000004,Oldham,28695.0,12313.0
E08000005,Rochdale,26088.0,10823.0
E08000006,Salford,32710.0,13044.0
E08000007,Stockport,25545.0,9586.0
E08000008,Tameside,24891.0,10613.0
E08000009,Trafford,18507.0,6589.0
E08000010,Wigan,35084.0,14876.0
E08000011,Knowsley,14322.0,6404.0
E08000012,Liverpool,65627.0,24748.0
E08000013,St. Helens,18100.0,7748.0
E08000014,Sefton,22695.0,10392.0
E08000015,Wirral,24435.0,11002.0
E08000016,Barnsley,26090.0,9668.0
E08000017,Doncaster,40989.0,14485.0
E08000018,Rotherham,25904.0,10003.0
E08000019,Sheffield,60322.0,20110.0
E08000021,Newcastle upon Tyne,37511.0,13085.0
E08000022,North Tyneside,17764.0,6633.0
E08000023,South Tyneside,15679.0,5932.0
E08000024,Sunderland,29251.0,10745.0
E08000025,Birmingham,140008.0,57655.0
E08000026,Coventry,37561.0,14001.0
E08000027,Dudley,26381.0,11131.0
E08000028,Sandwell,36285.0,15591.0
E08000029,Solihull,18011.0,6019.0
E08000030,Walsall,28739.0,11527.0
E08000031,Wolverhampton,30355.0,12628.0
E08000032,Bradford,70708.0,31399.0
E08000033,Calderdale,24621.0,10944.0
E08000034,Kirklees,44070.0,19315.0
E08000035,Leeds,106219.0,40717.0
E08000036,Wakefield,44154.0,18620.0
E08000037,Gateshead,19020.0,6966.0
E09000001,City of London,8770.0,1296.0
E09000002,Barking and Dagenham,21870.0,7575.0
E09000003,Barnet,28986.0,8184.0
E09000004,Bexley,16874.0,5794.0
E09000005,Brent,31854.0,9446.0
E09000006,Bromley,24051.0,7122.0
E09000007,Camden,40972.0,7729.0
E09000008,Croydon,35185.0,11851.0
E09000009,Ealing,32726.0,10565.0
E09000010,Enfield,29312.0,9191.0
E09000011,Greenwich,28980.0,9679.0
E09000012,Hackney,32655.0,8674.0
E09000013,Hammersmith and Fulham,23234.0,5976.0
E09000014,Haringey,29661.0,8059.0
E09000015,Harrow,16504.0,5234.0
E09000016,Havering,21269.0,6677.0
E09000017,Hillingdon,26586.0,8356.0
E09000018,Hounslow,28076.0,9103.0
E09000019,Islington,28713.0,7077.0
E09000020,Kensington and Chelsea,24022.0,4636.0
E09000021,Kingston upon Thames,12514.0,3673.0
E09000022,Lambeth,36803.0,9796.0
E09000023,Lewisham,29975.0,9568.0
E09000024,Merton,13996.0,4349.0
E09000025,Newham,39448.0,10753.0
E09000026,Redbridge,24523.0,8036.0
E09000027,Richmond upon Thames,11913.0,2980.0
E09000028,Southwark,38626.0,9012.0
E09000029,Sutton,13174.0,4538.0
E09000030,Tower Hamlets,37138.0,10619.0
E09000031,Waltham Forest,23457.0,6526.0
E09000032,Wandsworth,27219.0,7454.0
E09000033,Westminster,94241.0,11865.0
W06000001,Isle of Anglesey,3879.0,1983.0
