Local Authority code,Local Authority name,Total recorded ASB,Environmental ASB,Nuisance ASB,Personal ASB
E07000088,Gosport,1423.0,413.0,910.0,100.0
E07000090,Havant,1185.0,315.0,790.0,80.0
E07000091,New Forest,939.0,216.0,640.0,83.0
E07000093,Test Valley,1420.0,445.0,873.0,102.0
E07000094,Winchester,723.0,187.0,492.0,44.0
E07000095,Broxbourne,2261.0,424.0,1365.0,472.0
E07000096,Dacorum,3870.0,607.0,2325.0,938.0
E07000098,Hertsmere,2343.0,422.0,1305.0,616.0
E07000099,North Hertfordshire,2277.0,433.0,1283.0,561.0
E07000102,Three Rivers,1452.0,239.0,802.0,411.0
E07000103,Watford,2766.0,476.0,1716.0,574.0
E07000105,Ashford,1763.0,74.0,1518.0,171.0
E07000106,Canterbury,2466.0,107.0,2141.0,218.0
E07000108,Dover,1741.0,64.0,1491.0,186.0
E07000110,Maidstone,2529.0,105.0,2189.0,235.0
E07000111,Sevenoaks,1143.0,41.0,1007.0,95.0
E07000112,Folkestone and Hythe,1373.0,59.0,1165.0,149.0
E07000113,Swale,2807.0,120.0,2451.0,236.0
E07000114,Thanet,2574.0,89.0,2199.0,286.0
E07000115,Tonbridge and Malling,1679.0,62.0,1475.0,142.0
E07000116,Tunbridge Wells,1605.0,53.0,1403.0,149.0
E07000117,Burnley,3984.0,61.0,2743.0,1180.0
E07000118,Chorley,3330.0,65.0,2167.0,1098.0
E07000119,Fylde,2086.0,31.0,1357.0,698.0
E07000120,Hyndburn,3055.0,50.0,1960.0,1045.0
E07000121,Lancaster,4371.0,63.0,2917.0,1391.0
E07000122,Pendle,2589.0,25.0,1673.0,891.0
E07000123,Preston,6568.0,88.0,4700.0,1780.0
E07000124,Ribble Valley,924.0,34.0,545.0,345.0
E07000125,Rossendale,2286.0,43.0,1512.0,731.0
E07000126,South Ribble,2784.0,43.0,1751.0,990.0
E07000127,West Lancashire,2574.0,45.0,1503.0,1026.0
E07000128,Wyre,2716.0,40.0,1618.0,1058.0
E07000129,Blaby,413.0,52.0,330.0,31.0
E07000130,Charnwood,1097.0,191.0,832.0,74.0
E07000131,Harborough,299.0,50.0,228.0,21.0
