Local Authority code,Local Authority name,Total recorded ASB,Environmental ASB,Nuisance ASB,Personal ASB
,,121,10,103,8
E07000103,Watford,"2,766",476,"1,716",574
E07000241,Welwyn Hatfield,"3,093",483,"1,864",746
,,"9,769",413,"7,967","1,389"
E06000011,East Riding of Yorkshire,"2,371",115,"1,882",374
E06000010,"Kingston upon Hull, City of","3,422",123,"2,841",458
E06000012,North East Lincolnshire,"2,085",97,"1,684",304
E06000013,North Lincolnshire,"1,891",78,"1,560",253
,,,,,
,,"28,564","1,199","24,715","2,650"
E07000105,Ashford,"1,763",74,"1,518",171
E07000106,Canterbury,"2,466",107,"2,141",218
Combined Local Authorities,,"3,857",211,"3,334",312
E07000108,Dover,"1,741",64,"1,491",186
E07000112,Folkestone and Hythe,"1,373",59,"1,165",149
E07000110,Maidstone,"2,529",105,"2,189",235
E06000035,Medway,"4,915",211,"4,244",460
E07000111,Sevenoaks,"1,143",41,"1,007",95
E07000113,Swale,"2,807",120,"2,451",236
E07000114,Thanet,"2,574",89,"2,199",286
E07000115,Tonbridge and Malling,"1,679",62,"1,475",142
E07000116,Tunbridge Wells,"1,605",53,"1,403",149
,,112,3,98,11
,,"50,982",696,"33,521","16,765"
E06000008,Blackburn with Darwen,"5,153",39,"3,309","1,805"
E06000009,Blackpool,"8,513",69,"5,764","2,680"
E07000117,Burnley,"3,984",61,"2,743","1,180"
E07000118,Chorley,"3,330",65,"2,167","1,098"
E07000119,Fylde,"2,086",31,"1,357",698
E07000120,Hyndburn,"3,055",50,"1,960","1,045"
E07000121,Lancaster,"4,371",63,"2,917","1,391"
E07000122,Pendle,"2,589",25,"1,673",891
E07000123,Preston,"6,568",88,"4,700","1,780"
E07000124,Ribble Valley,924,34,545,345
E07000125,Rossendale,"2,286",43,"1,512",731
E07000126,South Ribble,"2,784",43,"1,751",990
,,49,0,2,47
E07000127,West Lancashire,"2,574",45,"1,503","1,026"
E07000128,Wyre,"2,716",40,"1,618","1,058"
,,"7,505","1,168","5,786",551
E07000129,Blaby,413,52,330,31
E07000130,Charnwood,"1,097",191,832,74
E07000131,Harborough,299,50,228,21
E07000132,Hinckley and Bosworth,509,81,388,40
E06000016,Leicester,"3,765",563,"2,934",268
E07000133,Melton,286,49,212,25
E07000134,North West Leicestershire,713,108,537,68
E07000135,Oadby and Wigston,302,54,228,20
E06000017,Rutland,114,20,90,4
,,7,0,7,0
,,"9,774",764,"7,024","1,986"
E07000136,Boston,"1,009",79,728,202
E07000137,East Lindsey,"1,939",100,"1,370",469
E07000138,Lincoln,"2,992",262,"2,175",555
E07000139,North Kesteven,474,33,363,78
E07000140,South Holland,"1,007",97,695,215
E07000141,South Kesteven,"1,234",107,897,230
,,1,0,1,0
E07000142,West Lindsey,"1,118",86,795,237
,,"15,376",471,"13,864","1,041"
E08000011,Knowsley,"1,702",40,"1,553",109
E08000012,Liverpool,"6,253",202,"5,673",378
E08000014,Sefton,"2,353",66,"2,103",184
E08000013,St. Helens,"1,957",52,"1,745",160
,,23,1,21,1
E08000015,Wirral,"3,088",110,"2,769",209
,,"253,389","9,798","218,641","24,950"
E09000002,Barking and Dagenham,"4,931",177,"4,219",535
E09000003,Barnet,"9,197",377,"7,747","1,073"
E09000004,Bexley,"4,097",180,"3,470",447
E09000005,Brent,"10,696",337,"9,261","1,098"
E09000006,Bromley,"6,020",296,"5,067",657
E09000007,Camden,"11,023",385,"9,700",938
E09000008,Croydon,"9,095",360,"7,810",925
E09000009,Ealing,"11,105",466,"9,584","1,055"
E09000010,Enfield,"9,252",433,"7,967",852
E09000011,Greenwich,"6,995",272,"5,934",789
E09000012,Hackney,"9,655",332,"8,316","1,007"
E09000013,Hammersmith and Fulham,"6,138",218,"5,272",648
E09000014,Haringey,"9,249",295,"8,078",876
E09000015,Harrow,"5,278",214,"4,553",511
E09000016,Havering,"5,273",230,"4,504",539
E09000017,Hillingdon,"7,449",260,"6,354",835
E09000018,Hounslow,"8,529",416,"7,319",794
E09000019,Islington,"8,781",293,"7,550",938
E09000020,Kensington and Chelsea,"4,941",179,"4,245",517
E09000021,Kingston upon Thames,"3,575",137,"3,091",347
E09000022,Lambeth,"10,394",404,"8,955","1,035"
E09000023,Lewisham,"7,545",258,"6,440",847
E09000024,Merton,"4,091",200,"3,402",489
E09000025,Newham,"10,972",453,"9,612",907
E09000026,Redbridge,"6,462",307,"5,492",663
E09000027,Richmond upon Thames,"3,477",154,"2,890",433
E09000028,Southwark,"10,027",327,"8,742",958
E09000029,Sutton,"3,424",160,"2,877",387
E09000030,Tower Hamlets,"12,546",483,"11,140",923
,,"1,536",43,"1,351",142
E09000031,Waltham Forest,"9,081",389,"7,895",797
E09000032,Wandsworth,"7,959",307,"6,856",796
E09000033,Westminster,"14,596",456,"12,948","1,192"
,,"8,814",462,"6,621","1,731"
E07000143,Breckland,"1,182",77,827,278
E07000144,Broadland,639,40,424,175
E07000145,Great Yarmouth,"1,586",81,"1,211",294
E07000146,King's Lynn and West Norfolk,"1,206",62,905,239
E07000147,North Norfolk,645,27,428,190
E07000148,Norwich,"2,650",133,"2,190",327
E07000149,South Norfolk,874,39,616,219
,,32,3,20,9
,,"10,552",443,"5,236","4,873"
W06000003,Conwy,"2,235",90,"1,172",973
W06000004,Denbighshire,"1,529",60,762,707
W06000005,Flintshire,"2,106",93,"1,038",975
W06000002,Gwynedd,"1,746",75,812,859
W06000001,Isle of Anglesey,818,30,364,424
,,0,0,0,0
W06000006,Wrexham,"2,118",95,"1,088",935
,,"14,842",717,"10,501","3,624"
E06000014,York,"4,718",194,"3,736",788
E06000065,North Yorkshire,"10,058",519,"6,723","2,816"
,,66,4,42,20
,,"11,786","2,440","6,226","3,120"
E07000150,Corby,"1,140",197,600,343
Combined Local Authorities,,"1,621",335,857,429
E07000152,East Northamptonshire,"1,397",303,739,355
E07000153,Kettering,"1,618",318,823,477
E07000154,Northampton,"4,508",989,"2,402","1,117"
,,149,40,76,33
E07000156,Wellingborough,"1,353",258,729,366
