date,geography,geography code,Occupancy rating for bedrooms: Total: All households,Occupancy rating for bedrooms: Occupancy rating of bedrooms: +2 or more,Occupancy rating for bedrooms: Occupancy rating of bedrooms: +1,Occupancy rating for bedrooms: Occupancy rating of bedrooms: 0,Occupancy rating for bedrooms: Occupancy rating of bedrooms: -1,Occupancy rating for bedrooms: Occupancy rating of bedrooms: -2 or less
2021,Gateshead,E08000037,88999,27787,37479,21725,1799,209
2021,City of London,E09000001,4914,390,1158,3133,207,26
2021,Barking and Dagenham,E09000002,73902,10720,19248,30793,10629,2512
2021,Barnet,E09000003,148917,42709,40449,51793,11644,2322
2021,Bexley,E09000004,95300,30448,31647,27373,4934,898
2021,Brent,E09000005,118612,22710,27337,48512,14926,5127
2021,Bromley,E09000006,135828,49715,42488,37505,5425,695
2021,Camden,E09000007,92756,13329,24607,45985,7145,1690
2021,Croydon,E09000008,152946,40376,41807,54895,13402,2466
2021,Ealing,E09000009,133659,29916,33372,52743,13826,3802
2021,Enfield,E09000010,120925,30644,31780,42871,12565,3065
2021,Greenwich,E09000011,114053,22560,32976,46298,9947,2272
2021,Hackney,E09000012,106081,12588,25814,54209,11070,2400
2021,Hammersmith and Fulham,E09000013,81244,14293,20429,39129,6206,1187
2021,Haringey,E09000014,105092,19716,25609,45622,11210,2935
2021,Harrow,E09000015,89643,26513,24177,28019,8438,2496
2021,Havering,E09000016,101277,34335,32449,28368,5266,859
2021,Hillingdon,E09000017,109228,27287,31476,38076,9984,2405
2021,Hounslow,E09000018,102961,21000,26288,40684,11544,3445
2021,Islington,E09000019,96496,11346,24582,51520,7695,1353
2021,Kensington and Chelsea,E09000020,66884,10894,19296,31270,4112,1312
2021,Kingston upon Thames,E09000021,65626,21342,19673,20673,3420,518
2021,Lambeth,E09000022,134689,21600,34995,63871,11440,2783
2021,Lewisham,E09000023,122392,22849,33308,52274,11211,2750
2021,Merton,E09000024,81729,23541,23381,27129,6208,1470
