geography code,Name,Geography,Mid-2022,Mid-2011
E07000139,North Kesteven,Non-metropolitan District,"119,709","108,518"
E07000140,South Holland,Non-metropolitan District,"96,983","88,390"
E07000141,South Kesteven,Non-metropolitan District,"144,249","134,125"
E07000142,West Lindsey,Non-metropolitan District,"96,817","89,352"
E10000024,Nottinghamshire,County,"834,822","786,796"
E07000170,Ashfield,Non-metropolitan District,"127,179","119,522"
E07000171,Bassetlaw,Non-metropolitan District,"120,012","113,003"
E07000172,Broxtowe,Non-metropolitan District,"112,113","109,749"
E07000173,Gedling,Non-metropolitan District,"117,730","113,741"
E07000174,Mansfield,Non-metropolitan District,"111,117","104,551"
E07000175,Newark and Sherwood,Non-metropolitan District,"125,089","114,982"
E07000176,Rushcliffe,Non-metropolitan District,"121,582","111,248"
E12000005,WEST MIDLANDS,Region,"6,021,653","5,608,667"
E06000019,"Herefordshire, County of",Unitary Authority,"188,719","183,619"
E06000051,Shropshire,Unitary Authority,"327,178","307,108"
E06000021,Stoke-on-Trent,Unitary Authority,"259,965","248,719"
E06000020,Telford and Wrekin,Unitary Authority,"188,871","166,831"
E10000028,Staffordshire,County,"886,284","849,546"
E07000192,Cannock Chase,Non-metropolitan District,"101,140","97,582"
E07000193,East Staffordshire,Non-metropolitan District,"125,760","113,858"
E07000194,Lichfield,Non-metropolitan District,"108,352","100,911"
E07000195,Newcastle-under-Lyme,Non-metropolitan District,"125,297","123,878"
E07000196,South Staffordshire,Non-metropolitan District,"111,527","108,318"
E07000197,Stafford,Non-metropolitan District,"138,670","130,895"
E07000198,Staffordshire Moorlands,Non-metropolitan District,"95,899","97,209"
E07000199,Tamworth,Non-metropolitan District,"79,639","76,895"
E10000031,Warwickshire,County,"607,604","546,554"
E07000218,North Warwickshire,Non-metropolitan District,"65,946","62,089"
E07000219,Nuneaton and Bedworth,Non-metropolitan District,"135,481","125,409"
E07000220,Rugby,Non-metropolitan District,"116,436","100,496"
E07000221,Stratford-on-Avon,Non-metropolitan District,"138,583","120,824"
E07000222,Warwick,Non-metropolitan District,"151,158","137,736"
E11000005,West Midlands (Met County),Metropolitan County,"2,953,816","2,739,733"
E08000025,Birmingham,Metropolitan District,"1,157,603","1,074,283"
E08000026,Coventry,Metropolitan District,"355,600","316,915"
E08000027,Dudley,Metropolitan District,"324,969","313,261"
E08000028,Sandwell,Metropolitan District,"344,210","309,042"
E08000029,Solihull,Metropolitan District,"217,678","206,856"
E08000030,Walsall,Metropolitan District,"286,105","269,524"
E08000031,Wolverhampton,Metropolitan District,"267,651","249,852"
E10000034,Worcestershire,County,"609,216","566,557"
E07000234,Bromsgrove,Non-metropolitan District,"100,076","93,732"
E07000235,Malvern Hills,Non-metropolitan District,"81,024","74,706"
E07000236,Redditch,Non-metropolitan District,"87,132","84,318"
E07000237,Worcester,Non-metropolitan District,"104,120","98,679"
