date,geography,geography code,Multiple ethnic groups in household: Total: All households,Multiple ethnic groups in household: One-person household,Multiple ethnic groups in household: All household members have the same ethnic group,Multiple ethnic groups in household: Ethnic groups differ between generations but not within partnerships,Multiple ethnic groups in household: Ethnic groups differ within partnerships,Multiple ethnic groups in household: Any other combination of multiple ethnic identities,ethnic groups
2021,Exeter,E07000041,52554,17021,29737,604,3039,2153,0.110286562
2021,Mid Devon,E07000042,35634,10238,23574,207,1304,311,0.051130942
2021,North Devon,E07000043,43197,13257,27939,248,1376,377,0.046322661
2021,South Hams,E07000044,39335,11621,25274,274,1723,443,0.06203127
2021,Teignbridge,E07000045,59838,18406,38305,381,2176,570,0.052257763
2021,Torridge,E07000046,30457,9330,19913,178,844,192,0.039859474
2021,West Devon,E07000047,24818,7300,16256,124,931,207,0.050850189
2021,Eastbourne,E07000061,45611,16205,24412,809,3054,1131,0.109491132
2021,Hastings,E07000062,40453,14441,22118,660,2396,838,0.096259857
2021,Lewes,E07000063,43689,13539,25978,569,2845,758,0.095493145
2021,Rother,E07000064,42102,13713,25243,401,2203,542,0.074723291
2021,Wealden,E07000065,68266,18745,44177,601,3906,837,0.078282014
2021,Basildon,E07000066,76362,21474,48133,1446,3803,1506,0.088460229
2021,Braintree,E07000067,64986,17774,42369,727,3351,765,0.074523744
2021,Brentwood,E07000068,32342,9402,19464,568,2409,499,0.107476347
2021,Castle Point,E07000069,37389,10221,25043,330,1400,395,0.056834898
2021,Chelmsford,E07000070,75403,21153,47116,1021,4820,1293,0.09461162
2021,Colchester,E07000071,79708,23075,48223,1254,5024,2132,0.105510112
2021,Epping Forest,E07000072,54557,14827,32405,1266,4694,1365,0.134263248
2021,Harlow,E07000073,37857,10918,22545,1088,2249,1057,0.116068363
2021,Maldon,E07000074,27899,7418,18909,198,1129,245,0.056346106
2021,Rochford,E07000075,35560,9360,24166,262,1463,309,0.0571991
2021,Tendring,E07000076,67451,23073,40864,531,2326,657,0.052097078
2021,Uttlesford,E07000077,36958,9228,24072,449,2660,549,0.098977217
2021,Cheltenham,E07000078,52897,18432,29307,700,3343,1115,0.097510256
2021,Cotswold,E07000079,40595,12261,25409,289,2196,440,0.072053209
2021,Forest of Dean,E07000080,37217,10579,24903,210,1182,343,0.046618481
2021,Gloucester,E07000081,55407,16754,33023,1333,2991,1306,0.10161171
2021,Stroud,E07000082,52378,15257,33415,463,2639,604,0.070754897
2021,Tewkesbury,E07000083,40931,11551,26659,408,1886,427,0.066477731
2021,Basingstoke and Deane,E07000084,76645,20406,48340,1107,5244,1548,0.10305956
2021,East Hampshire,E07000085,52716,13910,34507,455,3177,667,0.081550193
2021,Eastleigh,E07000086,56924,15107,37381,652,3043,741,0.077928466
2021,Fareham,E07000087,48639,13009,32590,316,2226,498,0.062501285
2021,Gosport,E07000088,35922,11443,22503,306,1269,401,0.055008073
2021,Hart,E07000089,39964,9836,26055,492,2967,614,0.101916725
2021,Havant,E07000090,53589,15957,34781,370,1949,532,0.053201217
2021,New Forest,E07000091,77566,22737,50084,593,3310,842,0.06117371
2021,Rushmoor,E07000092,39303,10502,24327,694,2708,1072,0.11383355
2021,Test Valley,E07000093,54708,14464,35985,533,2952,774,0.077849675
2021,Winchester,E07000094,51717,14333,32383,511,3484,1006,0.096699345
2021,Broxbourne,E07000095,39850,10971,23003,1326,3427,1123,0.147452949
2021,Dacorum,E07000096,63412,17851,37718,1296,5199,1348,0.123683215
2021,Hertsmere,E07000098,42682,11527,24201,1379,4101,1474,0.162925824
2021,North Hertfordshire,E07000099,56732,16903,33013,1016,4822,978,0.120143834
2021,Three Rivers,E07000102,36859,9697,21927,796,3600,839,0.142027727
2021,Watford,E07000103,39627,11146,21302,1378,4076,1725,0.181164358
2021,Ashford,E07000105,53583,13861,34750,771,3196,1005,0.092790624
2021,Canterbury,E07000106,63792,19046,37424,814,4006,2502,0.114779283
2021,Dartford,E07000107,45695,11827,28430,1120,3139,1179,0.119006456
2021,Dover,E07000108,50548,15658,31486,476,2263,665,0.067341932
2021,Gravesham,E07000109,41724,11212,26077,927,2380,1128,0.10629374
2021,Maidstone,E07000110,71208,18800,45806,1037,4129,1436,0.092714302
2021,Sevenoaks,E07000111,49013,12990,30788,719,3778,738,0.106808398
2021,Folkestone and Hythe,E07000112,48340,15728,28910,500,2541,661,0.07658254
2021,Swale,E07000113,60495,15957,40198,690,2689,961,0.071741466
2021,Thanet,E07000114,62200,20839,36298,875,3132,1056,0.081398714
2021,Tonbridge and Malling,E07000115,53570,13698,35119,636,3385,732,0.088725033
2021,Tunbridge Wells,E07000116,48223,14198,28653,699,3927,746,0.111399125
2021,Burnley,E07000117,39872,13126,24860,361,1030,495,0.047301364
2021,Chorley,E07000118,50132,14660,33043,371,1683,375,0.048452086
2021,Fylde,E07000119,37606,12863,22868,288,1330,257,0.049859065
2021,Hyndburn,E07000120,34790,11434,21791,304,924,337,0.044984191
2021,Lancaster,E07000121,59978,19526,36528,450,2180,1294,0.065423989
2021,Pendle,E07000122,38066,11824,24346,383,1085,428,0.049808228
2021,Preston,E07000123,59607,19400,35105,994,2711,1397,0.085593974
2021,Ribble Valley,E07000124,26747,7807,17746,120,895,179,0.04464052
2021,Rossendale,E07000125,30561,9708,19393,210,1017,233,0.047773306
2021,South Ribble,E07000126,48586,14496,31597,422,1675,396,0.051311077
2021,West Lancashire,E07000127,48533,13989,32135,374,1461,574,0.04963633
