date,geography,geography code,Occupancy rating for bedrooms: Total: All households,Occupancy rating for bedrooms: Occupancy rating of bedrooms: +2 or more,Occupancy rating for bedrooms: Occupancy rating of bedrooms: +1,Occupancy rating for bedrooms: Occupancy rating of bedrooms: 0,Occupancy rating for bedrooms: Occupancy rating of bedrooms: -1,Occupancy rating for bedrooms: Occupancy rating of bedrooms: -2 or less,Occupancy_rating_for_bedrooms
2021,East Devon,E07000040,66789,29481,23792,12517,862,137,0.797631346
2021,Exeter,E07000041,52554,17966,17709,15553,1190,136,0.678825589
2021,Mid Devon,E07000042,35633,16065,11696,7237,579,56,0.779081189
2021,North Devon,E07000043,43197,18600,14728,9204,599,66,0.77153506
2021,South Hams,E07000044,39335,18663,12763,7412,445,52,0.798932249
2021,Teignbridge,E07000045,59838,24765,21662,12529,787,95,0.775878204
2021,Torridge,E07000046,30457,13764,10788,5466,394,45,0.806120104
2021,West Devon,E07000047,24818,11785,8122,4546,316,49,0.802119429
2021,Eastbourne,E07000061,45610,13110,16193,14495,1628,184,0.642468757
2021,Hastings,E07000062,40452,11693,13846,13340,1398,175,0.631340848
2021,Lewes,E07000063,43688,16853,15201,10575,975,84,0.733702619
2021,Rother,E07000064,42102,17071,14990,9053,892,96,0.761507767
2021,Wealden,E07000065,68267,30561,23319,13260,1025,102,0.789253959
2021,Basildon,E07000066,76362,26281,24439,22236,3037,369,0.664204709
2021,Braintree,E07000067,64985,25949,22090,15431,1363,152,0.73923213
2021,Brentwood,E07000068,32342,13459,10357,7502,917,107,0.736379939
2021,Castle Point,E07000069,37389,13906,14143,8320,904,116,0.750193907
2021,Chelmsford,E07000070,75403,31600,23446,18346,1812,199,0.730024004
2021,Colchester,E07000071,79709,29765,26851,20799,2068,226,0.710283657
2021,Epping Forest,E07000072,54557,21207,17012,14131,1949,258,0.700533387
2021,Harlow,E07000073,37855,9416,11776,13705,2669,289,0.559820367
2021,Maldon,E07000074,27900,13099,8860,5398,482,61,0.787060932
2021,Rochford,E07000075,35557,14717,12655,7468,649,68,0.769806227
2021,Tendring,E07000076,67451,22599,27225,15971,1492,164,0.738669553
2021,Uttlesford,E07000077,36958,18167,11240,7028,476,47,0.795686996
2021,Cheltenham,E07000078,52898,19659,18066,14144,939,90,0.713164959
2021,Cotswold,E07000079,40595,20386,12290,7418,458,43,0.804926715
2021,Forest of Dean,E07000080,37217,16878,12229,7455,584,71,0.78208883
2021,Gloucester,E07000081,55407,19628,18920,14923,1703,233,0.695724367
2021,Stroud,E07000082,52378,24395,16695,10474,758,56,0.784489671
2021,Tewkesbury,E07000083,40931,19078,13503,7762,527,61,0.795998143
2021,Basingstoke and Deane,E07000084,76645,32020,24578,18109,1709,229,0.738443473
2021,East Hampshire,E07000085,52718,25047,16098,10593,891,89,0.780473463
2021,Eastleigh,E07000086,56925,23210,19797,12820,1000,98,0.755502855
2021,Fareham,E07000087,48639,22547,16306,9088,646,52,0.798803429
2021,Gosport,E07000088,35920,11904,12881,10157,881,97,0.690005568
2021,Hart,E07000089,39964,19930,12243,7226,520,45,0.805049545
2021,Havant,E07000090,53589,20829,17764,13393,1441,162,0.720166452
2021,New Forest,E07000091,77566,34708,25938,15602,1196,122,0.781863187
2021,Rushmoor,E07000092,39303,11526,12855,12822,1745,355,0.620334326
2021,Test Valley,E07000093,54708,25249,17309,11203,841,106,0.777911823
2021,Winchester,E07000094,51715,23803,15844,11215,776,77,0.766644107
2021,Broxbourne,E07000095,39851,13342,12225,11884,2120,280,0.641564829
2021,Dacorum,E07000096,63412,23790,19660,17985,1800,177,0.685201539
2021,Hertsmere,E07000098,42682,14426,13737,12280,1982,257,0.659833185
2021,North Hertfordshire,E07000099,56732,22493,18657,14336,1125,121,0.725340196
2021,Three Rivers,E07000102,36858,14330,11661,9586,1125,156,0.705165771
2021,Watford,E07000103,39628,10378,11239,14566,2917,528,0.545498133
2021,Ashford,E07000105,53583,21397,17787,12578,1546,275,0.731276711
2021,Canterbury,E07000106,63790,22668,22880,16291,1730,221,0.714030412
2021,Dartford,E07000107,45694,13353,15446,14314,2268,313,0.630257802
2021,Dover,E07000108,50545,18530,18186,12239,1393,197,0.726402216
2021,Gravesham,E07000109,41724,13703,13135,12374,2146,366,0.64322692
2021,Maidstone,E07000110,71207,27008,23832,17942,2060,365,0.71397475
2021,Sevenoaks,E07000111,49013,21825,15173,10775,1105,135,0.754860955
2021,Folkestone and Hythe,E07000112,48338,17451,17022,12349,1312,204,0.713165625
2021,Swale,E07000113,60497,21680,21099,15297,2060,361,0.707125973
