date,geography,geography code,General health: Total: All usual residents,General health: Very good health,General health: Good health,General health: Fair health,General health: Bad health,General health: Very bad health,health
2021,Exeter,E07000041,130709,66498,43054,15152,4665,1340,0.954058252
2021,Mid Devon,E07000042,82852,39073,28866,10954,3085,874,0.952216
2021,North Devon,E07000043,98611,46135,33154,13705,4352,1265,0.943038809
2021,South Hams,E07000044,88627,43499,29405,11292,3413,1018,0.950003949
2021,Teignbridge,E07000045,134803,61426,47053,19026,5739,1559,0.945861739
2021,Torridge,E07000046,68114,29852,23713,10453,3216,880,0.93986552
2021,West Devon,E07000047,57096,26007,19802,8236,2380,671,0.946563682
2021,Eastbourne,E07000061,101689,43956,35844,15503,4946,1440,0.937200681
2021,Hastings,E07000062,90994,38395,31864,14122,5025,1588,0.927324879
2021,Lewes,E07000063,99905,45533,34732,14156,4297,1187,0.945107852
2021,Rother,E07000064,93110,39362,33607,14561,4365,1215,0.940070884
2021,Wealden,E07000065,160150,77218,55635,20209,5627,1461,0.955741492
2021,Basildon,E07000066,187571,90914,64185,23022,7229,2221,0.949619078
2021,Braintree,E07000067,155268,73375,55346,19655,5431,1461,0.955612232
2021,Brentwood,E07000068,77047,41588,24413,8141,2214,691,0.962295742
2021,Castle Point,E07000069,89587,40925,31438,12324,3807,1093,0.945304564
2021,Chelmsford,E07000070,181523,93611,61388,19993,5089,1442,0.964021088
2021,Colchester,E07000071,192715,94777,66963,22916,6281,1778,0.958181771
2021,Epping Forest,E07000072,134980,69924,44362,15163,4214,1317,0.959023559
2021,Harlow,E07000073,93328,44559,32106,11913,3659,1091,0.949104235
2021,Maldon,E07000074,66208,30903,23469,8677,2487,672,0.952286733
2021,Rochford,E07000075,85661,41866,29571,10588,2837,799,0.957553612
2021,Tendring,E07000076,148292,58492,52819,25460,8891,2630,0.922308688
2021,Uttlesford,E07000077,91341,49323,29898,9180,2301,639,0.967812921
2021,Cheltenham,E07000078,118837,60237,39932,13876,3695,1097,0.959675859
2021,Cotswold,E07000079,90832,45781,31041,10559,2698,753,0.962006782
2021,Forest of Dean,E07000080,87004,38990,30908,12355,3662,1089,0.945393315
